,Depth-averaged uncertainty,Longitude,Latitude,time
95,0.0,6.558719638431854,62.48202094031404,2024-05-03
96,0.0,6.558455653343427,62.48176729758448,2024-05-03
97,0.0,6.426313471799082,62.47536879169684,2024-05-03
98,0.0,6.427018307886631,62.47506040015224,2024-05-03
99,0.0,6.427659381429448,62.475141243604845,2024-05-03
100,0.0,6.4248623295237,62.475510230744355,2024-05-03
101,0.0,6.526048650021927,62.479830455109585,2024-05-03
102,0.0,6.525068981821752,62.479906205292075,2024-05-03
103,0.0,6.4432734003059515,62.47473339366655,2024-05-03
104,0.0,6.456548593601499,62.47680771959671,2024-05-03
105,0.0,6.454938900579898,62.47662387468631,2024-05-03
106,0.0,6.499832967565184,62.4811606904822,2024-05-03
107,0.0,6.500251007685636,62.481385269779125,2024-05-03
108,0.0,6.459622063914909,62.4781258121338,2024-05-03
